ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j11	2.500002665328793e-07	6.432291074742152e-06	3.7500000084023103e-06	1.0118699357017283e-05	8.750000051804819e-07	9.655840358608172e-06	2.1250000125760947e-06	7.438313787997963e-06	1.37500006488267e-06	7.457512103631076e-06	0.0	0.0	-21.25755812499981	1.0216350593768448	-31.00184612499993	0.6100751607382404	34.81714574999986	1.3925465250444078	-5.312905717500001	0.029084231221089968	-22.75515584250023	1.8423393547606624	11a	-5.6	0.1	0	Janssen
j12	-1.2500003981585905e-06	8.879666785750379e-06	1.749999999525187e-06	1.011368010214825e-05	1.0000001104515377e-06	8.005172509689737e-06	-1.374999979191216e-06	9.967734952320014e-06	8.750001014590225e-07	7.3263174443999146e-06	0.0	0.0	-17.834671750000297	1.1158482349854022	-29.364930124999944	0.5005053823218459	35.8896192499999	1.4909952081770332	-5.337306452699994	0.0532912783748086	-16.64728807769999	0.8186604734633174	11b	-5.6	0.1	0	Janssen
g1	1.5000001030784917e-06	1.1462307129812667e-05	2.1250000305883528e-06	1.0065359718629867e-05	-1.2500000005388755e-06	7.754647266233269e-06	6.249999790952643e-07	7.1322609938725e-06	-8.749999904011931e-07	7.83691781752414e-06	0.0	0.0	-27.36340425000026	1.0502777960202474	-52.78287587499993	0.5812535632352372	81.544482625	3.7652835958795614	-8.923858110000007	0.06370967115649827	-7.5256534850004355	3.753877747836687	THQ1	-9.607999999999999	0.1	0	THQ
g2	8.74999550433131e-07	8.592161605176242e-06	3.7499998967405185e-07	1.015214481879404e-05	-1.4999999149267753e-06	1.007920686288984e-05	6.250000008023448e-07	8.667077431193136e-06	-2.499999960008381e-06	8.236774283686709e-06	0.0	0.0	-22.351075499999475	1.2330953995039329	-39.85326562500003	0.4541733983988013	57.51461037500004	1.3063923533418844	-6.582600153900001	0.049249576450518064	-11.272333028899913	1.297750533258969	THQ2	-7.6864	0.1	0	THQ
g3	1.7499998830317054e-06	8.753257188854182e-06	5.000000186328179e-07	8.218909197962238e-06	1.8750000131717567e-06	9.67846559746002e-06	-1.9184653865522706e-15	1.0070840575994117e-05	-2.9999999763674624e-06	7.6279209291128005e-06	0.0	0.0	-25.376236624999386	1.0780972341829067	-49.09786749999998	0.8367396897239499	76.13426174999994	2.407454642668899	-8.236170533699996	0.0515837243136823	-6.576011783700085	2.538041383721959	THQ3	-9.33348	0.1	0	THQ
g4	3.7500072039620144e-07	8.497207428759846e-06	3.875000039244014e-06	1.0718310372205214e-05	-1.3750000961465506e-06	1.1113179343502124e-05	-1.1250000155627051e-06	8.610078887449342e-06	1.749999911737632e-06	9.835987512833831e-06	0.0	0.0	-30.113772250000785	1.0226850596941968	-48.63504837500002	0.44645976271216176	80.26907812500015	2.1235492678758963	-8.187796121400005	0.06918116546891498	-6.667535121399603	1.9755245105750867	THQ4	-9.33348	0.127	0	THQ
g5	-2.375000347001333e-06	7.861163655626438e-06	1.8749999927081261e-06	8.366377335103282e-06	4.999999642052444e-07	8.566474465301685e-06	-4.99999960723585e-07	8.135641352805341e-06	2.5000007582320903e-07	8.740219023354521e-06	0.0	0.0	-30.81049124999967	0.8602764568298871	-52.16113287500002	0.4785875124106572	81.42843375000011	1.5024257054270802	-8.651159462699997	0.04487024296441313	-10.194350087700094	1.4870547701525525	THQ5	-10.8433	0.1	0	THQ
g6	8.750001097723727e-07	9.001623038156024e-06	-1.2500000005388755e-06	9.329604104353382e-06	1.2500000266868484e-07	8.231813605902473e-06	-3.7500001432988477e-07	7.4023348228679095e-06	-1.2500000715931493e-06	9.856887692222536e-06	0.0	0.0	-26.31777137499986	0.9422949392087286	-53.09641012500007	0.9514799692097268	87.65639950000006	1.6042328487609845	-9.047945396699998	0.05951111593289572	-0.8057292717000132	2.007236336776956	THQ6	-7.6864	0.1	0	THQ
g7	1.1249998078710631e-06	7.0147746074593155e-06	6.250000166119207e-07	8.475421572264683e-06	-1.1250000187601472e-06	7.549794768792545e-06	1.2500000074311402e-06	9.839524231208587e-06	-2.374999903622665e-06	6.918206847838615e-06	0.0	0.0	-31.145756000000485	1.4939943776250064	-51.11506862499999	1.2075061142189538	71.64253437499998	2.4167283582757326	-8.0571248316	0.0807686870813894	-18.67541558160027	3.3319501075802145	THQ7	-7.96091	0.1	0	THQ
g8	1.624999385967385e-06	1.028676910076496e-05	-1.0000000361287675e-06	8.601020096513586e-06	4.999999030985692e-07	1.0153627584361828e-05	1.1250000355289558e-06	8.326155840455267e-06	6.250000663499121e-07	7.656173794422278e-06	0.0	0.0	-26.313300250000186	1.4457837538918548	-54.01103325000004	0.8330712601031103	85.85528475000008	3.6065148325213614	-9.3258192321	0.059606581984568	-3.794865107100482	3.5568852500846075	THQ8	-8.921710000000001	0.1	0	THQ
g9	-2.2499998442526703e-06	8.091521458115518e-06	8.749999628321349e-07	7.037857937017349e-06	2.4999994352015165e-07	1.148387548528181e-05	2.9999999758700825e-06	6.706420287713125e-06	1.2500011266070031e-07	9.194534721749764e-06	0.0	0.0	-24.20479675000011	1.705268219408672	-55.31150399999992	0.7155117973579905	82.69034337500003	2.7108487853378658	-9.5361479838	0.1082835449050321	-6.3621033587999465	1.4999298985662246	THQ9	-5.90206	0.1	0	THQ
g10	-6.250000978980097e-07	9.147878091164673e-06	-6.249999924534678e-07	8.285488839568598e-06	-2.499999968108568e-06	7.60147296361524e-06	-1.249999986896455e-06	1.0074661824566808e-05	2.500000627492227e-07	8.246133713728904e-06	0.0	0.0	-73.5047073750001	2.579463231164632	-60.33268000000002	0.6407147774566034	136.05689087500002	4.0474081132289825	-10.671268420799995	0.05701640889614359	-8.45176967079981	2.0846416070771525	THQ10	-10.4315	0.14	1	THQ
g11	-4.999999111987564e-07	6.537433607502985e-06	8.750000247914612e-07	1.0034359367729116e-05	1.8750000475620255e-06	7.666944495846975e-06	3.4999999988372118e-06	7.669970672958175e-06	-2.4999993229357644e-07	9.271669846765747e-06	0.0	0.0	-73.89753249999916	2.6135520195912973	-62.86718637499998	0.7152063574385179	139.978838625	3.5601879192967547	-10.970365405500004	0.08096263421934533	-7.756240155499629	1.6745020262801806	THQ11	-9.33348	0.41	1	THQ
g12	1.374999671952537e-06	7.234687650977139e-06	1.0000000318655114e-06	8.952541730313491e-06	-3.7499999885426407e-06	7.228377961450139e-06	-4.999999933374965e-07	8.821246895331319e-06	1.8750000296563485e-06	8.24250353216217e-06	0.0	0.0	-74.19667324999963	3.2681165583082614	-64.25075099999998	0.8191145212682734	139.79731962500003	3.1623930701391076	-11.353369207499998	0.09375089900431208	-10.003473832499786	2.0069343511049933	THQ12	-7.5491399999999995	0.1	1	THQ
g13	2.6250001883454388e-06	8.547605408018635e-06	1.87499996883389e-06	9.271084894311277e-06	2.875000016331342e-06	6.893083318310048e-06	3.749999972058049e-07	8.495430578440164e-06	5.000001213772976e-07	6.47551415890911e-06	0.0	0.0	-157.7073042500003	2.9261977515890916	-48.643645499999984	1.0803215265909312	219.536416875	4.729574699300155	-9.7601205573	0.1111484158534359	3.4253548176999336	5.365735663726363	THQ13	-7.41188	0.1	-1	THQ
g14	-5.000000169275154e-07	1.0915983921963024e-05	-1.625000013234512e-06	8.795651720507857e-06	1.250000221375558e-07	1.1400307028155506e-05	-1.8750000198508588e-06	9.727928569314626e-06	-1.3750001626533505e-06	8.970841866647243e-06	0.0	0.0	-161.47886199999937	3.2208701429021986	-47.1015996250001	1.2535244744231833	220.262222625	6.274265768168216	-9.441349642800004	0.09798021897458448	2.240406107200004	7.472179342356545	THQ14	-9.19623	0.27	-1	THQ
g15	5.000002920496628e-07	1.022667564794431e-05	1.999999999071633e-06	7.387639503107054e-06	3.874999924136091e-06	7.963361835021214e-06	-3.7499999926637895e-07	8.99654508123598e-06	2.1250000555994574e-06	7.217342426668852e-06	0.0	0.0	-157.65199887499998	3.3062666742598297	-47.7133905	1.4888121281402245	208.23496899999992	6.424418275185173	-9.265701685499998	0.0815968963737782	-6.3961139355001055	9.023756886405712	THQ15	-10.7106	0.14	-1	THQ
g16	-1.7500001013104336e-06	7.074871847842459e-06	2.125000005293032e-06	8.652228125298978e-06	-6.249999771057446e-07	8.70336129887323e-06	1.2500000941884085e-07	1.0359817050002517e-05	-1.3750000246659511e-06	7.349285646229755e-06	0.0	0.0	-70.25120600000109	3.6293636347165408	-60.26058950000001	0.8064951934500001	137.31208899999982	4.474822069766186	-10.6619960484	0.05641290933794785	-3.861704048400262	3.2166149291341766	THQ16	-7.41188	0.38	1	THQ
